Palabra,Cantidad_Videos
HURT,29
LIVE,29
JOIN,29
PARADE,29
DRUNK,29
NEWSPAPER,29
BITCH,29
CONVINCE,29
PEEL 2,29
BLINK,29
BREAK DOWN,29
MINIMUM 2,29
COOL 5,29
GREET 2,29
THROW AWAY,29
THROW,29
NECKLACE 3,29
RELAX,29
CELERY,29
CATCH,29
CLOCK,29
JACKET 4,29
LINGUISTICS,29
FIRETRUCK,29
BRAILLE,29
WASH FACE_1,29
TWO OF_US,29
RAZOR 2,29
LONELY,29
HOLY,29
IMPACT,29
DISTRACTED,29
SLICE,29
CREWCUT,29
CHERRY 2,29
MARCH,29
WADE 2,29
FOR,29
BEG,29
BANANA 4,29
CLOSET 2,29
EMPTY 2,29
SHAPE,29
DIAPER,29
BOOTS 2,29
DICTIONARY,29
SCHOOL,29
SUIT,29
REACH,29
SQUARE,29
BET,29
BANDAID,29
ALL OVER_BODY,29
SPILL 1,29
TWO WEEKS,29
LIKE,29
CHEESE,29
ISRAEL,29
SNOB,29
SHARP 1,29
STAPLER,29
CHOKE,29
ONCE,29
COWBOY,29
NEEDLE,29
REMEMBER 2,29
MY,29
MAD,29
BITE ON NECK,29
DANCER,29
INSULT,29
LAMP,29
ON,29
POOL GAME,29
AGAINST,29
ENGLISH,29
WILL,29
STRAWBERRY 2,29
COMMUTE,29
VISION,29
ROOM,29
RABBIT,29
KNIFE 2,29
KNIGHT 3,29
SUNBATHE 2,29
BLOUSE,29
PIN ON,29
UNDERWEAR 2,29
BLANK,29
DILEMMA,29
EARMUFFS,29
FLOAT 2,29
LOOK FORWARD,29
YESTERDAY,29
HAIRCUT,29
TANKTOP,29
OUTSIDE,29
YES,29
ADMIRE,29
WAR,29
ENVIRONMENT,29
ACQUIRE,29
DISSECT,29
TUBE TOP,29
PUT,29
WITH,29
BROWN,29
COACH,29
RUN 2,29
THINK OBSESS,29
HONGKONG,29
PREGNANT,29
ORDER 2,29
UNIVERSE,29
OVERNIGHT,29
CENTER,29
BURY 2,29
DREADLOCKS,29
HANDSOME 3,29
INTERPRETER,29
CALIFORNIA,29
SANDWICH 3,29
PULL,29
UPSET 1,29
PROGRAM,29
SWEAT,29
EMAIL,29
FUZZY,29
CARRY,29
TOGETHER,29
CANNON,29
TEA,29
BLESS,29
FRUSTRATE,29
PROBLEM 1,29
BENEFIT,29
SHAME ON_YOU,29
BYE,29
CHEAT 1,29
ANTLERS,29
CHECK,29
SANDWICH 2,29
FEED,29
PRINCIPAL,29
EXPERIENCED,29
EARTH,29
LEAGUE,29
SLED 1,29
ADDRESS,29
EXCITED,29
BLOW CANDLE_2,29
FOOTBALL,29
SURGERY,29
PARALLEL,29
STAMP 1,29
VASE,29
BARK 3,29
TOUGH,29
SMOKE,29
SHOULD,29
TOY 2,29
OPINION 1,29
EXPENSIVE,29
FIX,29
DELIBERATE,29
SERIOUS,29
HAPPEN,29
NAKED,29
TRASH,29
BEAR,29
LEMON 2,29
CRASH,29
ZOOM IN,29
SIGN PAPER,29
BEDROOM,29
MURDER,29
CLIP,29
FINGER,29
FRAME,29
PIPE 3,29
SCREWDRIVER 2,29
MEASURE 2,29
FAMOUS,29
WOMAN 2,29
DINING ROOM,29
CRY 4,29
CULTURE,29
MEMBER,29
ELEPHANT,29
PARANOID,29
BOARD,29
NOW,29
CHILDREN,29
SNAKE,29
EVENT,29
FIRED,29
NO BIG_DEAL,29
CARROT 3,29
BIND,29
BREAK,29
GREAT,29
SHAME,29
SIGNING FLUENTLY,29
HOUR,29
CEREAL,29
PINEAPPLE 3,29
HANDS OFF,29
GO AHEAD,29
LOOK LIKE,29
KNIFE,29
SHAVE 3,29
ERASE 3,29
ARTICULATE SIGN,29
GUM,29
REQUEST,29
SOUTH,29
WAY,29
PICKLE,29
GOODY GOODY_SHOE_OPPOSITE,29
WHEEL,29
CHAMP,29
FLOAT,29
REDUCE,29
FORK 4,29
CONVINCE 2,29
WAND,29
CATCH 2,29
HORRIBLE,29
DUMB,29
ICE,29
RIDE 1,29
PROFOUNDLY DEAF,29
EMPEROR,29
INSTEAD,29
TEST,29
BORED 2,29
WITHOUT,29
CRACKER 2,29
JAW DROP,29
MIME,29
LIMITED,29
BEAT,29
IMMERSE,29
BUCKLE 2,29
SCARF 3,29
FISHING,29
IMMATURE,29
ZIPPER,29
STAMP 2,29
CURL,29
BOAT,29
NOISE,29
MAIL 2,29
INNOCENT,29
ACCENT,29
KNOCK OFF,29
SANDWICH,29
TALK DIRTY,29
DRIVE,29
CATAPULT,29
DEAL CARDS,29
LEAVE,29
CUP,29
GOSSIP,29
GUILLOTINE 1,29
GYM,29
SAD,29
FUN,29
BEER,29
LIVE 2,29
MEDITATE 3,29
SCARF 2,29
VALIDATE,29
ROLLERSKATING,29
SPECIFIC,29
THEATRE,29
MUSHROOM,29
TROPHY,29
OIL 2,29
CHAIR,29
SAXOPHONE,29
BUFFALO,29
BIRTH,29
VIDEOCAMERA 2,29
BRA,29
STAFF,29
OPERATE MACHINE,29
VALUE,29
DIAMOND,29
PROXIMALIZATION,29
INJECT,29
SHAKESPEARE,29
HAMBURGER,29
ARGUE,29
CHERRY,29
OVER,29
COMMUNITY,29
VERY,29
LOBSTER 3,29
WORSE,29
VISIT,29
BOW 4,29
REVENGE,29
HAIRDRESSER,29
SHOWER,29
CAR ACCIDENT,29
HANG,29
SKUNK,29
CHEW 2,29
PARK,29
HAD ENOUGH,29
VANISH,29
BUSTED,29
RISK,29
PHOTOGRAPHY,29
BURN 1,29
EACH OTHER,29
MONTH,29
SHOW,29
NOTHING AT_ALL,29
DIVE,29
TAN,29
SOAP,29
CHIMNEY,29
DAMN,29
SNOWMAN,29
IMPRESS,29
CEILING,29
DROWN 2,29
BOTHER,29
TAKE PILL,29
LOBSTER 2,29
DIZZY,29
VOLUNTEER,29
OLD,29
SAVE MONEY,29
EXCUSE,29
KANGAROO 3,29
REAL SICK,29
DEODORANT,29
WHILE,29
PEEL 1,29
HELICOPTER 3,29
FLAG,29
PUT ASIDE,29
BOMB,29
UNAWARE,29
TELL,29
ERASE,29
FRY,29
BUSINESS,29
EASTER,29
COUNSELOR,29
APPOINTMENT,29
ARCHEOLOGY,29
RELAX 2,29
CAMEL,29
TOWEL,29
CRAWL,29
SODA,29
TODAY,29
STAY,29
STUMBLE,29
FREEZE,29
HITCHHIKE,29
WASH FACE_2,29
CREAM 2,29
CRANKY,29
SHUT OUT,29
CALCULATOR,29
TICKLE,29
THIN,29
STRAIN 2,29
DOMINANT,29
PLIERS,29
SCOUT,29
RUIN,29
MEA CULPA,29
BARK,29
TEMPORARY,29
RESIST,29
FOLLOW 1,29
SHOOTING,29
HEART TOUCH,29
MICROPHONE,29
BODY,29
STRONG,29
DISAGREEMENT,29
DROP,29
LIFT 2,29
NAIL,29
ROOSTER,29
DELINQUENT,29
NEED,29
SORRY,29
HIS,29
LOCKER,29
YOUNG,29
CLASS,29
BLOW CANDLE_1,29
BOW 2,29
AFTERNOON,29
OVERLOOK,29
PICNIC,29
DOWNLOAD,29
GRANDFATHER,29
PUZZLED,29
POSTPONE,29
ERASE 2,29
COME,29
GOTCHA,29
DIRTY,29
OIL 3,29
SOCCER,29
HOOD,29
TRUE BUSINESS,29
DOCUMENT,29
CLAW,29
BOYFRIEND,29
THRILLED,29
WHITE,29
HURRY,29
GESTURE,29
FINGERSPELLING,29
SUPERVISE,29
MEAN,29
PHILADELPHIA,29
FAINT,29
SPREAD 1,29
DONT NEED,29
BUT,29
JUICE 1,29
DORMITORY,29
PLAIN,29
LOBSTER,29
IRON,29
CAT,29
STUPID 1,29
PEAR,29
LAWYER,29
TRUCK 1,29
TO A_GOAL,29
LEAF 2,29
INTERNET,29
INTENTIONAL,29
CIRCLE,29
WISE,29
SKIRT,29
RELATIONSHIP,29
WINDY,29
MAJOR,29
COFFEE,29
HATCH,29
HURRICANE,29
BUTTONS,29
SCARF,29
SLICE 3,29
HOLIDAY,29
EVIDENCE,29
COMPUTER,29
TOSS,29
BAD,29
BLUSH,29
CHIN 2,29
SWING 2,29
APRIL,29
SILVER,29
TOOTHBRUSH,29
TENDENCY,29
CHEW 2_MOUTH,29
INTERPRET,29
DUE,29
LOVE,29
FINS,29
DUTY,29
SWEAR IN,29
SHOES,29
THOUGHT DISAPPEAR,29
I LOVE_YOU,29
STILL,29
ROLLERBLADING,29
STRAWBERRY 4,29
SHOUT,29
LIGHTS ON,29
WEST,29
GLASS 1,29
WET,29
FOLLOW 2,29
ROLL UP_SLEEVES,29
GOAL,29
GATE CLOSE,29
SWEATSHIRT,29
TISSUE,29
PREDICT,29
SENSITIVE,29
FREEWAY,29
HAIR 2,29
OFFICE,29
PAGEANT,29
FIT,29
JUMP ROPE,29
OOH,29
SOMETIMES,29
LEAK,29
STRICT,29
SHOVEL 2,29
OPTION,29
SOUND,29
FRIDAY,29
ELEVATOR 3,29
SUPPORT 2,29
DENT,29
RUSSIA,29
GAME,29
WAITER,29
SCROLL DOWN,29
PANTS,29
TRY,29
IRON 3,29
REST,29
SOFTBALL,29
DANGER,29
EXPRESS,29
MISS,29
EVERYTHING,29
TOTAL,29
BERRY,29
TURKEY,29
KNITTING,29
KNITTING 3,29
GARLIC,29
PRISON,29
IF,29
SPREAD 2,29
ERASE 4,29
MUSCLE,29
THURSDAY,29
BUBBLES,29
OBSESS,29
SINGLE OUT,29
SCORE,29
STUDENT,29
SHARPEN 2,29
BURY,29
POWER,29
INCREDIBLE,29
SLIDE,29
WALRUS,29
STRAW,29
BANANA 2,29
ROOF,29
DIP,29
HAIRDRYER,29
SEQUENCE,29
PHARMACIST,29
AGE,29
SYSTEM,29
KISS ON_CHEEK,29
TOPIC,29
FORM,29
POTATO,29
ENGAGEMENT,29
CROWN,29
LAST WEEK,29
HOLD,29
MONSTER,29
INVISIBLE,29
ATHLETE,29
BOOTS,29
MELON,29
BACK UP,29
CHEW 4,29
DRUG,29
HIT 2,29
COMPUTER MOUSE,29
STUDY,29
FIREMAN 2,29
KNIGHT 2,29
SUMMON,29
STORY 2,29
BICYCLE,29
WORKSHOP,29
DEDICATE 1,29
SUSPENDERS 2,29
NET,29
CORKSCREW,29
MISSING,29
SWALLOW,29
SMILE 2,29
BABY,29
HUNDRED,29
ASSIGN,29
TRANSGENDER,29
SUNSET,29
EFFECT,29
GOATEE,29
FINGERS CROSSED,29
CHEERLEADER,29
JACKET,29
OPEN BOOK,29
THUNDER,29
GRANDPARENTS,29
NECK,29
PERMISSION,29
NEW YORK,29
SEVEN,29
OH I_SEE,29
COLOR,29
STUBBORN,29
EGO,29
PARACHUTE 3,29
CREATE,29
FROM THEN_ON,29
DESIGN,29
FIREMAN,29
PUBLIC,29
VOCABULARY,29
SLED 2,29
KILL,29
KITE,29
FREEDOM,29
RAT,29
READY,29
ATTENTION,29
DONT CARE,29
INSTINCT,29
OCEAN,29
MILK,29
AIRPLANE,29
PIPE 4,29
SENTENCE,29
JELLYFISH,29
DONKEY,29
LEAF,29
CHEW 1,29
CHANGE,29
WELL,29
PUNCH FACE,29
TEETH,29
MAGNET 3,29
PIG,29
ATLANTA,29
CANDLE,29
CRASH PLANE,29
CURIOUS,29
FUNCTION,29
QUARTER,29
PAIR,29
DOLPHIN,29
CHARGE CARD,29
PASS,29
NURSE,29
GREEN BEANS,29
W.H.A.T,29
LINE,29
HAIRDRYER 3,29
COMPASS,29
FILE 4,29
ALL DAY,29
HELL,29
FILE 3,29
PINEAPPLE 4,29
LESBIAN,29
NO,29
DICE,29
BEND,29
EQUAL,29
MOUNTAIN 2,29
GET INFORMATION_OUT_OF,29
CHEERLEADER 2,29
VAGINA,29
STARE,29
HOODIE 2,29
LANGUAGE,29
SHARP 2,29
RAISIN,29
SCAN,29
WATER,29
FADE,29
STOPWATCH,29
HELMET 2,29
GOLD,29
PAY OFF_BILLS,29
ALL TOGETHER,29
BACKYARD,29
BUG,29
SNOW 2,29
EMPTY,29
GRADUATE SCHOOL,29
UNTIL,29
BULLDOZER,29
GRIND,29
SCIENTIST,29
DECORATE 1,29
PINEAPPLE,29
FUNNY,29
FENCING,29
AUSTRALIA,29
MARRY,29
STETHOSCOPE,29
RESTLESS,29
NAVEL,29
DEER,29
JOURNEY,29
PEANUT BUTTER,29
RUN OUT_OF,29
THERMOMETER,29
USE,29
NAVY,29
TIME PROGRESS,29
GIVE,29
ONE YEAR AGO,29
MOP 2,29
FAN,29
GET OFF,29
TOW 3,29
EAGLE 2,29
SWEATER 3,29
INSURANCE,29
PLOW,29
TURN AROUND,29
REFRIGERATOR,29
REFUSE,29
BLACKBIRD,29
FAUCET,29
REFLECT,29
CAMERAMAN,29
DISPATCH,29
ONE MORE_1,29
CAPTION,29
PERSPECTIVE,29
WAIT,29
BURP,29
LOAD,29
STRUGGLE,29
FRUIT,29
PRINCE,29
STACK 2,29
TRAFFIC,29
DOCTOR,29
PJS,29
SOW,29
Q TIP,29
BLINDS 1,29
TURN KEY,29
BREATHE,29
EYES,29
NUT 2,29
SPRING,29
DIP 2,29
SPECIALIST,29
CAN 2,29
ARREST 3,29
DAUGHTER,29
GLOVES 4,29
TURBAN,29
STUCK,29
ENVELOPE 5,29
BONE,29
SPEND LOTS_OF_MONEY,29
NOOSE,29
KNOW NOTHING,29
BLANKET,29
LONG,29
ACCEPT,29
STETHOSCOPE 2,29
NOT UNDERSTAND,29
WEEKEND,29
BOIL 2,29
WOOD,29
BEFORE,29
CLAUSE,29
DIRECTOR,29
LOYAL,29
BRACELET,29
SUMMER,29
FED UP,29
BASKET 1,29
MENTION,29
NEPHEW,29
HAHA,29
KINDERGARTEN,29
DRY,29
SILLY,29
HONEY 2,29
CANADA,29
STIMULATE,29
BOW 3,29
UNDER,29
FLASHLIGHT 4,29
INSIDE,29
WIFE,29
FAMILY,29
BEST,29
DROWN 5,29
WIDE,29
CHURCH,29
LESSON,29
DINOSAUR 2,29
NEWS TO_ME,29
LIPS,29
MEXICAN 2,29
TORNADO,29
ADOPT,29
POINT,29
THESE,29
PACK,29
JACKET 3,29
SALAD,29
JELLY,29
BARRETTE,29
SCAR MEMORY,29
NOT,29
DISSOLVE,29
HAT,29
NOT MIND,29
ROCKET 2,29
BATHTUB,29
FROWN 1,29
SUNDAY,29
DOESNT MATTER,29
JUGGLER,29
COW,29
CHINA,29
BADGE,29
RAINBOW,29
OFFHAND,29
UNIQUE,29
BRICK,29
HOMEWORK,28
TV,28
CONDUCT 1,28
GRAPES 2,28
REPLACE,28
SWEET,28
PAINT,28
RACE,28
SWIM 2,28
MAKE BELIEVE,28
LIGHT CANDLE,28
HORSE,28
FULL,28
CAT 2,28
AGREEMENT,28
SHIELD,28
PERSISTENT,28
ADULT,28
LECTURE,28
EAGLE,28
CASTLE 2,28
TRIM 1,28
OVERTAKE,28
MAGIC,28
CAPE,28
MOON,28
WINDMILL 2,28
HOT COMPETITION,28
CATCH BASEBALL,28
BRUSH,28
CAR,28
STETHOSCOPE 4,28
SOCIAL,28
SMOKING,28
PERCEIVE,28
FURNITURE,28
POSITIVE,28
SLICE 4,28
DROWN,28
AGAIN,28
SHARK 1,28
DUCK 2,28
POP,28
FRANCE,28
SAIL,28
FLAG 2,28
ESCALATE,28
THINK EXPAND,28
CLOUD 4,28
REMIND,28
TO,28
ARRIVE,28
PHONE,28
SNOW,28
LIGHT WEIGHT,28
FEBRUARY,28
GRANDMOTHER,28
PROCESS,28
FINALLY,28
BLEED,28
WRAP UP_2,28
DOLL,28
CHICAGO,28
ACCIDENT,28
EARN,28
ENVELOPE 3,28
FREE,28
PREACHER,28
FISHING 2,28
BRA 2,28
WORRY,28
DINOSAUR,28
YEAH,28
ROAR,28
TRIPLE,28
MEET,28
IDEA,28
ISLAND,28
STACK 3,28
FOCUS,28
SAW 2,28
STAND,28
DEVIL,28
DOWN,28
STETHOSCOPE 3,28
SEVERAL,28
SIGN LANGUAGE,28
NEGATIVE,28
VILLAGE,28
RESPECT,28
HEAR 1,28
TABLET,28
CONDUCT 3,28
MUSIC,28
DRAW,28
WEATHER,28
CRAZY,28
VIDEOGAME,28
FACULTY,28
RACECAR TRACK,28
STRAIN 1,28
PILLOW,28
POLISH,28
LONG AGO,28
HIGH,28
HATBRIM,28
ARM 2,28
YAY,28
CELEBRATE,28
RUN FAUCET,28
LONG TIME,28
SUN,28
CLUELESS,28
FRENCH,28
PERCENT,28
SAFE,28
ACCOMPLISH,28
RESENT,28
MOP,28
LET KNOW,28
TEAR,28
DRIBBLE,28
SUSPENDERS,28
KEEP,28
IPHONE,28
FATHER,28
SUNBATHE,28
ECLIPSE,28
DIP 3,28
FRISK,28
CAUSE,28
CONDUCT 2,28
ENJOY,28
GOD,28
UNICORN,28
SOMERSAULT 3,28
TAIL,28
FRIEND,28
HALF HOUR,28
THIRSTY,28
PRESIDENT,28
TALL 2,28
HUMBLE,28
HELICOPTER 2,28
TASTE,28
OWL,28
STEAK,28
POOR,28
POP 4,28
DROWN 3,28
KNIGHT 5,28
SANDALS,28
FORFEIT,28
DOLPHIN 2,28
TREE,28
SHAMPOO,28
BUN,28
CONFLICT,28
DART,28
JUGGLE,28
CHERISH,28
STRETCH 2,28
FOLLOW 4,28
PSYCHOLOGIST,28
CANOE,28
PRESS IN_MIND,28
CALL,28
FORMER,28
PET 2,28
PINCH 2,28
DAY,28
NECKLACE 4,28
AMAZING,28
NEXT DOWN,28
ITCH,28
CURL 2,28
KITE 2,28
GUN,28
EXPERT,28
CHEAT 2,28
LESS,28
SELL,28
KISS 3,28
RHINO 2,28
MATCH,28
BALL,27
OUT,27
CARROT 2,27
HAIR,27
HANG CLOTHES,27
DEVELOP 2,23
HALLOWEEN 2,23
MOVIE 2,23
BASKETBALL 3,23
LUNCH 2,23
EAT 2,23
TWINS 2,23
CANCER 2,23
DINNER 2,23
DRAG 2,23
HOSPITAL 2,23
BASKETBALL 2,23
DOG 3,23
FOREIGNER 2,22
DARK 2,22
MICROSCOPE 2,22
BELIEVE 2,22
CONFUSED 2,22
WHAT FOR 3,22
NOON 2,22
BITE 2,22
TAKE OFF 2,22
FINE 2,22
BREAKFAST 2,22
CALENDAR 2,22
THIRD 2,22
NIGHT 2,22
AXE 2,22
ELEVATOR 2,22
DOG 4,22
CANCEL 2,22
DOWNSIZE 2,22
SPECIAL 2,22
WHAT FOR 2,22
RESEARCH 2,22
LOCK 2,22
ROCKING CHAIR 2,22
EDIT 2,22
CHRISTMAS 2,22
RIVER 2,22
DEAF 2,22
RECENT 2,22
DECIDE 2,22
BACKPACK 2,22
PARTY 2,22
DEMAND 2,21
THEY 2,21
BELT 2,21
GUESS 2,21
TYPE 2,21
PATIENT 3,21
MECHANIC 2,21
CLOUD 2,21
SHAVE 2,21
BEE 2,20
LETTUCE 2,20
seedDOG,3
seedWHAT FOR,3
seedBASKETBALL,3
seedSHAVE,2
seedBELIEVE,2
seedNIGHT,2
seedPARTY,2
seedNOON,2
seedEDIT,2
seedCANCER,2
seedELEVATOR,2
seedWELCOME,2
seedCANCEL,2
seedBEE,2
seedDEVELOP,2
seedCONFUSED,2
seedCALENDAR,2
seedTWINS,2
seedTYPE,2
seedMICROSCOPE,2
seedRECENT,2
seedFOREIGNER,2
seedDOWNSIZE,2
seedMINIMUM,2
seedTAKE OFF,2
seedHOSPITAL,2
seedTHIRD,2
seedLETTUCE,2
seedTHEY,2
seedMECHANIC,2
seedSPECIAL,2
seedPATIENT 2,2
seedDEAF,2
seedBACKPACK,2
seedLOCK,2
seedBELT,2
seedLUNCH,2
seedROCKING CHAIR,2
seedCLOUD,2
seedMOVIE,2
seedBREAKFAST,2
seedHALLOWEEN,2
seedABOUT,2
seedDECIDE,2
seedGUESS,2
seedDARK,2
seedEAT,2
seedLETTER,2
seedRESEARCH,2
seedDEMAND,2
seedLIVE,2
seedAXE,2
seedBITE,2
seedSENTENCE,2
seedFINE,2
seedDRAG,2
seedDINNER,2
seedRIVER,2
seedCHRISTMAS,2
seedPROBLEM 2,1
seedSAIL 2,1
seedGOODY GOODY,1
seedMIRROR,1
seedSTAPLER,1
seedKANGAROO 2,1
seedDANCE,1
seedSNOWMAN,1
seedADDICT,1
seedHOT COMPETITION,1
seedDOWN,1
seedENVIRONMENT,1
seedINEPT,1
seedNEUTRAL,1
seedLAST WEEK,1
seedSPORTS,1
seedLICK 1,1
seedBOSS,1
seedFROG,1
seedSINGLE OUT,1
seedTOSS,1
seedTICKLE,1
seedIMPROVE,1
seedCITY 2,1
seedBORED,1
seedHEADCOLD,1
seedENGLISH,1
seedHAIRDRYER 3,1
seedWATERDROP,1
seedFUTURE,1
seedSUPERIOR,1
seedEXPLODE,1
seedHELLO,1
seedREMEMBER 2,1
seedTUESDAY,1
seedSWIM,1
seedNECKLACE 3,1
seedOBVIOUS,1
seedLOAD,1
seedLEARN,1
seedPREACHER,1
seedHOME,1
seedCANCELLATION,1
seedHUMBLE,1
seedLABEL,1
seedSITUATION,1
seedNONE,1
seedFOOTBALL,1
seedAGENCY,1
seedFALL 2,1
seedDOWNLOAD,1
seedADVANTAGE,1
seedFOLD 2,1
seedCONSUME,1
seedCOW,1
seedCHURN,1
seedBORED 2,1
seedSO,1
seedMEDICINE,1
seedDIP,1
seedGLOW,1
seedJAR,1
seedBEG,1
seedNEXT YEAR,1
seedHEAR 2,1
seedMIX,1
seedSINCE,1
seedBROWN,1
seedDROWN 3,1
seedYAWN 2,1
seedPERSUADE,1
seedWATCH,1
seedPLATE,1
seedBOTTOM,1
seedFORK 3,1
seedPRECIOUS,1
seedRISK,1
seedDRIVE,1
seedSHOWER,1
seedHANUKKAH,1
seedMISSING,1
seedWEATHER,1
seedPLENTY,1
seedHERE,1
seedADULT,1
seedGONE,1
seedWOMAN,1
seedVOCABULARY,1
seedPAY,1
seedEVALUATE,1
seedLOLLIPOP,1
seedPHYSICS,1
seedCEREAL,1
seedARIZONA,1
seedTOUCH,1
seedRIGHT 2,1
seedHEAD,1
seedTWIRL,1
seedHANDSOME 3,1
seedTHESE,1
seedCANDY 2,1
seedWE WILL_SEE,1
seedPILLOW 2,1
seedSUPERVISOR,1
seedPRINCIPAL,1
seedVITAMINS,1
seedKISS FIST,1
seedALL,1
seedGREAT,1
seedSPILL 1,1
seedSUNBATHE,1
seedSAME SAME,1
seedWASH FACE_2,1
seedADMIT,1
seedFRIDAY,1
seedHOT,1
seedHUSBAND,1
seedDISAGREEMENT,1
seedWITCH 2,1
seedHELICOPTER 2,1
seedSTART,1
seedPEN,1
seedWINDMILL,1
seedCLOTHES,1
seedPHONE,1
seedDRUG,1
seedAWARD,1
seedBOMB,1
seedGIRL,1
seedBEHIND,1
seedBUSINESS,1
seedSLOW,1
seedTRIPLE,1
seedPEACH,1
seedWORK OUT,1
seedBLINK,1
seedLIFT,1
seedSURPRISE,1
seedBUCKLE 1,1
seedTIMEOUT,1
seedBACHELOR,1
seedSMILE,1
seedTENDENCY,1
seedPITY,1
seedSHOUT 2,1
seedMAJOR,1
seedFAVORITE,1
seedPHILADELPHIA,1
seedVALLEY,1
seedSTRAIN 1,1
seedMONKEY,1
seedSTOP,1
seedONE MORE_2,1
seedLIGHT WEIGHT,1
seedENERGY,1
seedDIP 3,1
seedWANT 2,1
seedALPHABET,1
seedSTAR,1
seedHAT,1
seedADD,1
seedFORM,1
seedPROMOTE,1
seedSHARPEN 2,1
seedPLEASE,1
seedSPEAKERS,1
seedVLOG,1
seedTEST,1
seedNO,1
seedPOP 3,1
seedCOMMITTEE,1
seedPLUMMET,1
seedCELERY,1
seedRUIN,1
seedCLAUSE,1
seedHATCH,1
seedALL TOGETHER,1
seedDEER,1
seedGOLF,1
seedROCKET 2,1
seedBOAT,1
seedPICK 2,1
seedSING,1
seedOFTEN,1
seedBRIDGE,1
seedFREEWAY,1
seedBLOOM,1
seedBEHAVIOR,1
seedSTUBBORN,1
seedPEPSI,1
seedASTRONAUT,1
seedBOOTS,1
seedZIPPER,1
seedWISE,1
seedPERCENT,1
seedCONVINCE,1
seedFORK,1
seedWINDOW OPEN,1
seedPERSISTENT,1
seedPRAYER,1
seedNO BIG_DEAL,1
seedLAMP,1
seedBLIND,1
seedDECORATE 2,1
seedVOLUNTEER,1
seedTOGETHER,1
seedRUN 2,1
seedCRACK,1
seedBIOLOGY,1
seedLIKE,1
seedPOPE,1
seedSPECIFIC,1
seedPERFECT,1
seedOK,1
seedTHIN,1
seedENGINEER,1
seedBUN,1
seedCOPY,1
seedUPSET 1,1
seedVALIDATE,1
seedQUEEN,1
seedTEXT,1
seedDROWN,1
seedDEDICATE 1,1
seedPURPLE,1
seedHURRICANE,1
seedLICK ENVELOPE_2,1
seedREALLY INTO,1
seedDEATH,1
seedRED FACED,1
seedGULLIBLE,1
seedDENTIST,1
seedKID,1
seedNOT INTERESTED,1
seedSHELF,1
seedPLAIN,1
seedIDEA,1
seedSALT SHAKER,1
seedSKATE,1
seedWHISPER,1
seedTRANSGENDER,1
seedSAFE,1
seedPOOP,1
seedGRAB,1
seedVOTE,1
seedSTRAWBERRY,1
seedRESTAURANT,1
seedCALCULATOR,1
seedNUMBERS,1
seedFROM,1
seedSHARP 1,1
seedBED 2,1
seedSLED 1,1
seedCONFIDENT,1
seedTEETH,1
seedFLOWER,1
seedKNOW,1
seedUPLOAD,1
seedCLIMB LADDER,1
seedEAR,1
seedWRAP UP_2,1
seedVIDEOCAMERA 2,1
seedPEOPLE,1
seedUNDERWEAR,1
seedDONUT,1
seedPENNY,1
seedGRAPES 2,1
seedLONG AGO,1
seedVISUALIZE,1
seedDROWN 4,1
seedSHOP,1
seedQM,1
seedSHIRT,1
seedSIGN LANGUAGE,1
seedMASSAGE,1
seedFAIR,1
seedCLAP,1
seedLUNGS,1
seedCARROT 3,1
seedFAST,1
seedCASTLE 2,1
seedDEAF SCHOOL,1
seedHIGH SCHOOL,1
seedCHARGE,1
seedBALD,1
seedSTUDY,1
seedSIGN PAPER,1
seedFINS,1
seedEVERY NIGHT,1
seedCOUGH,1
seedOPEN WALLET,1
seedWHICH,1
seedSUNSET,1
seedBACON,1
seedARGUE,1
seedDIAPER,1
seedRULER,1
seedYAWN 4,1
seedSOCIETY,1
seedENJOY,1
seedSTIR,1
seedCLOSE DOOR,1
seedTHIEF 2,1
seedMOUSE,1
seedCROSS 3,1
seedGREET,1
seedDIG UP,1
seedMONSTER,1
seedBARK 3,1
seedWAVE,1
seedBABY 2,1
seedWAITER,1
seedCOVER UP,1
seedOLD,1
seedHUMMINGBIRD,1
seedPARACHUTE 2,1
seedELECTROCUTE,1
seedFUZZY,1
seedTHINK OBSESS,1
seedUNICORN,1
seedDRUM,1
seedCARDS,1
seedCUT 1,1
seedENVELOPE 4,1
seedFIREMAN 2,1
seedHISTORY,1
seedPLOW 2,1
seedCAT 3,1
seedCHAMP,1
seedDELICIOUS,1
seedAUTISM,1
seedCAUSE,1
seedDRAWER,1
seedTOW 1,1
seedPOLICEMAN,1
seedARREST,1
seedSPOON,1
seedMAIL,1
seedHAVE,1
seedACTION,1
seedCOMMUTE,1
seedBURY 3,1
seedKICK 2,1
seedFIGURE,1
seedCRASH,1
seedBEND,1
seedSOUND,1
seedGLUE 1,1
seedSUSPENDERS 2,1
seedPLAN,1
seedKEY,1
seedEVERYDAY,1
seedDYE,1
seedBANANA 2,1
seedACT,1
seedGLOVES 2,1
seedSOFT,1
seedEMPEROR,1
seedBABYSITTER,1
seedBITE ON_ARM,1
seedWITCH,1
seedTRANSLATE,1
seedRUN FAUCET,1
seedGUILTY,1
seedPOLICEMAN 2,1
seedLEARN LESSON,1
seedBOUNCE,1
seedPARACHUTE,1
seedBLOUSE,1
seedBURY 2,1
seedBATHTUB,1
seedSTRAWBERRY 2,1
seedDISTRACTED,1
seedHEART TOUCH,1
seedJUGGLER,1
seedWAR,1
seedEXERCISE,1
